=== Training Session Started ===
Device: cuda
Network Architecture: [20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 8]
Number of Inputs: 8
Learning Rate: 0.1 (initial)
Training samples: 52
Patience: 200
Step 0400 | Loss = 14.602160 | LR = 0.050000 | Correct: 46/52 | Patience: 12/200
Step 0407 | Loss = 14.203729 | LR = 0.050000 | Correct: 46/52 | New best loss! (patience reset)
Step 0410 | Loss = 14.107110 | LR = 0.050000 | Correct: 45/52 | New best loss! (patience reset)
Step 0412 | Loss = 13.931044 | LR = 0.050000 | Correct: 45/52 | New best loss! (patience reset)
Step 0414 | Loss = 13.897866 | LR = 0.050000 | Correct: 46/52 | New best loss! (patience reset)
Step 0415 | Loss = 13.746498 | LR = 0.050000 | Correct: 46/52 | New best loss! (patience reset)
Step 0416 | Loss = 13.659438 | LR = 0.050000 | Correct: 46/52 | New best loss! (patience reset)
Step 0417 | Loss = 13.636430 | LR = 0.050000 | Correct: 46/52 | New best loss! (patience reset)
Step 0418 | Loss = 13.494410 | LR = 0.050000 | Correct: 46/52 | New best loss! (patience reset)
Step 0420 | Loss = 13.486889 | LR = 0.050000 | Correct: 46/52 | New best loss! (patience reset)
Step 0422 | Loss = 13.444398 | LR = 0.050000 | Correct: 46/52 | New best loss! (patience reset)
Step 0423 | Loss = 13.429837 | LR = 0.050000 | Correct: 46/52 | New best loss! (patience reset)
Step 0430 | Loss = 13.427462 | LR = 0.050000 | Correct: 45/52 | New best loss! (patience reset)
Step 0440 | Loss = 13.994625 | LR = 0.050000 | Correct: 45/52 | Patience: 10/200
Step 0450 | Loss = 13.458508 | LR = 0.050000 | Correct: 45/52 | Patience: 20/200
Step 0452 | Loss = 13.370019 | LR = 0.050000 | Correct: 45/52 | New best loss! (patience reset)
Step 0456 | Loss = 13.335725 | LR = 0.050000 | Correct: 47/52 | New best loss! (patience reset)
Step 0458 | Loss = 12.993934 | LR = 0.050000 | Correct: 47/52 | New best loss! (patience reset)
Step 0459 | Loss = 12.806847 | LR = 0.050000 | Correct: 47/52 | New best loss! (patience reset)
Step 0460 | Loss = 12.223851 | LR = 0.050000 | Correct: 48/52 | New best loss! (patience reset)
Step 0461 | Loss = 11.989687 | LR = 0.050000 | Correct: 48/52 | New best loss! (patience reset)
Step 0462 | Loss = 11.861658 | LR = 0.050000 | Correct: 48/52 | New best loss! (patience reset)
Step 0463 | Loss = 11.579819 | LR = 0.050000 | Correct: 48/52 | New best loss! (patience reset)
Step 0464 | Loss = 11.501916 | LR = 0.050000 | Correct: 48/52 | New best loss! (patience reset)
Step 0465 | Loss = 10.939061 | LR = 0.050000 | Correct: 48/52 | New best loss! (patience reset)
Step 0466 | Loss = 10.801056 | LR = 0.050000 | Correct: 48/52 | New best loss! (patience reset)
Step 0467 | Loss = 10.526935 | LR = 0.050000 | Correct: 48/52 | New best loss! (patience reset)
Step 0468 | Loss = 10.429996 | LR = 0.050000 | Correct: 48/52 | New best loss! (patience reset)
Step 0469 | Loss = 10.222979 | LR = 0.050000 | Correct: 48/52 | New best loss! (patience reset)
Step 0470 | Loss = 10.148239 | LR = 0.050000 | Correct: 48/52 | New best loss! (patience reset)
Step 0471 | Loss = 9.911756 | LR = 0.050000 | Correct: 48/52 | New best loss! (patience reset)
Step 0472 | Loss = 9.844768 | LR = 0.050000 | Correct: 48/52 | New best loss! (patience reset)
Step 0473 | Loss = 9.736531 | LR = 0.050000 | Correct: 48/52 | New best loss! (patience reset)
Step 0474 | Loss = 9.593425 | LR = 0.050000 | Correct: 48/52 | New best loss! (patience reset)
Step 0475 | Loss = 9.520890 | LR = 0.050000 | Correct: 48/52 | New best loss! (patience reset)
Step 0476 | Loss = 9.370915 | LR = 0.050000 | Correct: 48/52 | New best loss! (patience reset)
Step 0477 | Loss = 9.184927 | LR = 0.050000 | Correct: 48/52 | New best loss! (patience reset)
Step 0478 | Loss = 9.025956 | LR = 0.050000 | Correct: 48/52 | New best loss! (patience reset)
Step 0480 | Loss = 8.930400 | LR = 0.050000 | Correct: 48/52 | New best loss! (patience reset)
Step 0481 | Loss = 8.887900 | LR = 0.050000 | Correct: 48/52 | New best loss! (patience reset)
Step 0482 | Loss = 8.777043 | LR = 0.050000 | Correct: 48/52 | New best loss! (patience reset)
Step 0483 | Loss = 8.746061 | LR = 0.050000 | Correct: 48/52 | New best loss! (patience reset)
Step 0484 | Loss = 8.647303 | LR = 0.050000 | Correct: 48/52 | New best loss! (patience reset)
Step 0485 | Loss = 8.629471 | LR = 0.050000 | Correct: 48/52 | New best loss! (patience reset)
Step 0486 | Loss = 8.520266 | LR = 0.050000 | Correct: 48/52 | New best loss! (patience reset)
Step 0487 | Loss = 8.432902 | LR = 0.050000 | Correct: 48/52 | New best loss! (patience reset)
Step 0489 | Loss = 8.331030 | LR = 0.050000 | Correct: 48/52 | New best loss! (patience reset)
Step 0490 | Loss = 8.378754 | LR = 0.050000 | Correct: 48/52 | Patience: 1/200
Step 0491 | Loss = 7.939604 | LR = 0.050000 | Correct: 48/52 | New best loss! (patience reset)
Step 0493 | Loss = 7.788826 | LR = 0.050000 | Correct: 48/52 | New best loss! (patience reset)
Step 0495 | Loss = 7.710415 | LR = 0.050000 | Correct: 48/52 | New best loss! (patience reset)
Step 0497 | Loss = 7.624296 | LR = 0.050000 | Correct: 48/52 | New best loss! (patience reset)
Step 0499 | Loss = 7.580150 | LR = 0.050000 | Correct: 48/52 | New best loss! (patience reset)
Step 0500 | Loss = 7.673425 | LR = 0.050000 | Correct: 48/52 | Patience: 1/200
Step 0501 | Loss = 7.541586 | LR = 0.050000 | Correct: 48/52 | New best loss! (patience reset)
Step 0504 | Loss = 7.538776 | LR = 0.050000 | Correct: 48/52 | New best loss! (patience reset)
Step 0509 | Loss = 7.507953 | LR = 0.050000 | Correct: 48/52 | New best loss! (patience reset)
Step 0510 | Loss = 7.526481 | LR = 0.050000 | Correct: 48/52 | Patience: 1/200
Step 0511 | Loss = 7.399837 | LR = 0.050000 | Correct: 48/52 | New best loss! (patience reset)
Step 0513 | Loss = 7.389719 | LR = 0.050000 | Correct: 48/52 | New best loss! (patience reset)
Step 0515 | Loss = 7.301957 | LR = 0.050000 | Correct: 48/52 | New best loss! (patience reset)
Step 0519 | Loss = 7.262657 | LR = 0.050000 | Correct: 48/52 | New best loss! (patience reset)
Step 0520 | Loss = 7.265596 | LR = 0.050000 | Correct: 48/52 | Patience: 1/200
Step 0521 | Loss = 7.246558 | LR = 0.050000 | Correct: 48/52 | New best loss! (patience reset)
Step 0523 | Loss = 7.216661 | LR = 0.050000 | Correct: 48/52 | New best loss! (patience reset)
Step 0525 | Loss = 7.193880 | LR = 0.050000 | Correct: 48/52 | New best loss! (patience reset)
Step 0530 | Loss = 7.363606 | LR = 0.050000 | Correct: 48/52 | Patience: 5/200
Step 0531 | Loss = 6.986749 | LR = 0.050000 | Correct: 48/52 | New best loss! (patience reset)
Step 0535 | Loss = 6.939668 | LR = 0.050000 | Correct: 46/52 | New best loss! (patience reset)
Step 0540 | Loss = 6.857296 | LR = 0.050000 | Correct: 48/52 | New best loss! (patience reset)
Step 0541 | Loss = 6.793599 | LR = 0.050000 | Correct: 48/52 | New best loss! (patience reset)
Step 0542 | Loss = 6.793211 | LR = 0.050000 | Correct: 47/52 | New best loss! (patience reset)
Step 0545 | Loss = 6.760756 | LR = 0.050000 | Correct: 48/52 | New best loss! (patience reset)
Step 0550 | Loss = 8.521350 | LR = 0.050000 | Correct: 48/52 | Patience: 5/200
Step 0552 | Loss = 6.689910 | LR = 0.050000 | Correct: 48/52 | New best loss! (patience reset)
Step 0554 | Loss = 6.675627 | LR = 0.050000 | Correct: 48/52 | New best loss! (patience reset)
Step 0560 | Loss = 8.893430 | LR = 0.050000 | Correct: 48/52 | Patience: 6/200
Step 0570 | Loss = 6.832936 | LR = 0.050000 | Correct: 46/52 | Patience: 16/200
Step 0580 | Loss = 6.814600 | LR = 0.050000 | Correct: 46/52 | Patience: 26/200
